professor_id,firstname,lastname,qual,bio,rank,quote,title,category,institution,almamater,email,facebook,photo
Expected Records,25,,,,0,,,,,,,,
2,Dennis,Dalton,Ph.D.,"Dr. Dennis Dalton is Professor Emeritus of Political Science at Barnard College, Columbia University. He earned his B.A. from Rutgers University, his M.A. in Political Science from the University of Chicago, and his Ph.D. in Political Theory from the University of London.  Professor Dalton has edited and contributed to more than a dozen publications and has written numerous articles. He is the author of Indian Idea of Freedom and Mahatma Gandhi: Nonviolent Power in Action. His fields of interests include classical and modern, Western, and Asian political theory; politics of South Asia, particularly the Indian nationalist movement; nonviolence and violence in society; and ideologies of modern political movements in Europe, India, China, and Africa.   Dr. Dalton served as a review editor for the Journal of Developmental Studies (London) and as a U.S. correspondent for the South Asian Review (London). He is a member of both the American Political Science Association and the Association for Asian Studies.  Professor Dalton has been honored with numerous teaching awards, scholarships, and grants, including the Barnard College Margaret Mead Award 2009 for Distinguished Teaching, the 2008 Barnard Commendation for Excellence in Teaching, a grant from the American Council of Learned Societies, a senior fellowship with the American Institute of Indian Studies, and a Gandhi Peace Foundation Grant.",0,NULL,Professor,,"Barnard College, Columbia University",University of London,,,Prof_Dennis_Dalton.jpg
3,Robert,Greenberg,Ph.D.,"Dr. Robert Greenberg is Music Historian-in-Residence with San Francisco Performances. A graduate of Princeton University, Professor Greenberg holds a Ph.D. in Music Composition from the University of California, Berkeley. He has seen his compositionsówhich include more than 45 works for a wide variety of instrumental and vocal ensemblesóperformed all over the world, including New York, San Francisco, Chicago, Los Angeles, England, Ireland, Greece, Italy, and the Netherlands.   He has served on the faculties of the University of California, Berkeley; California State University, Hayward; and the San Francisco Conservatory of Music, and has lectured for some of the most prestigious musical and arts organizations in the United States, including the San Francisco Symphony, the Lincoln Center for the Performing Arts, the Van Cliburn Foundation, and the Chicago Symphony. For The Great Courses, he has recorded more than 500 lectures on a range of composers and classical music genres.  Professor Greenberg is a Steinway Artist. His many other honors include three Nicola de Lorenzo Composition Prizes and a Koussevitzky commission from the Library of Congress. He has been profiled in various major publications, including The Wall Street Journal; Inc.  magazine; and the London Times.",1,Music is not merely an 'art' or 'entertainment'; it is something intrinsic and essential to our humanity. What a joy it is to share it.,Professor,,San Francisco Performances,"University of California, Berkeley",,,Prof_Robert_Greenberg.jpg
6,Richard,Wolfson,Ph.D.,"Dr. Richard Wolfson is the Benjamin F. Wissler Professor of Physics at Middlebury College, where he also teaches Climate Change in Middlebury's Environmental Studies Program. He completed his undergraduate work at MIT and Swarthmore College, graduating from Swarthmore with a double major in Physics and Philosophy. He holds a master's degree in Environmental Studies from the University of Michigan and a Ph.D. in Physics from Dartmouth.   Professor Wolfson's published work encompasses diverse fields such as medical physics, plasma physics, solar energy engineering, electronic circuit design, observational astronomy, theoretical astrophysics, nuclear issues, and climate change. His current research involves the eruptive behavior of the sun's outer atmosphere, or corona, as well as terrestrial climate change and the sunñEarth connection.   Professor Wolfson is the author of several books, including the college textbooks Physics for Scientists and Engineers, Essential University Physics,and Energy, Environment, and Climate. He is also an interpreter of science for the nonspecialist, a contributor to Scientific American, and author of the books Nuclear Choices: A Citizen's Guide to Nuclear Technology and Simply Einstein: Relativity Demystified.",26,The Great Courses help me bring science to thousands of eager students beyond my college classroom.,Professor,,Middlebury College,Dartmouth College,,,Prof_Richard_Wolfson.jpg
10,Thomas,Childers,Ph.D.,"Dr. Thomas Childers is Sheldon and Lucy Hackney Professor of History at the University of Pennsylvania, where he has been teaching for over 25 years. He earned his bachelorís and masterís degrees from the University of Tennessee and his Ph.D. in History from Harvard University.   Professor Childers has held visiting professorships at Trinity Hall College, Cambridge, Smith College, and Swarthmore College. He is a popular lecturer abroad as well, in London, Oxford, Berlin, and Munich.  Professor Childers has won several teaching awards, including the Ira T. Abrahms Award for Distinguished Teaching and Challenging Teaching in the Arts and Sciences, the Richard S. Dunn Award for Distinguished Teaching in History, and the Senior Class Award for Excellence in Undergraduate Teaching.  Professor Childers is the author and editor of several books on modern German history and the Second World War. He is currently completing a trilogy on the Second World War. The first volume, Wings of Morning: The Story of the Last American Bomber Shot Down over Germany in World War II, was praised by Jonathan Yardley in The Washington Post as ìa powerful and unselfconsciously beautiful book.î",13,NULL,Professor,,University of Pennsylvania,Harvard University,,,Prof_Thomas_Childers.jpg
11,Jules,Schwartz,Ph.D.,"Recently retired, Jules J. Schwartz was Professor of Management and Professor of Engineering in the School of Management at Boston University.   Professor Schwartz did his undergraduate work in mechanical engineering and received his M.B.A. degree at the University of Delaware. He is a graduate of the Industrial College of the U.S. Armed Forces and the U.S. Air Command and General Staff College. He earned his Ph.D. from the Harvard Business School, Harvard University.  Prior to taking his position in Boston, Professor Schwartz was Assistant Dean and Associate Professor of Management at the Wharton School of the University of Pennsylvania. He also has 15 years of program management experience with Sperry Rand, Westinghouse Electric, and Thiokol Chemical Corporation, and he was credited with six U.S. patents. Before he began his career as a professor of business studies, he was, in fact, a rocket scientist.  At BU, Professor Schwartz received the prestigious Metcalf Award for Excellence in Teaching.  Professor Schwartzís research interests include business policy, technological innovation, and corporate finance. He has conducted executive programs in management policy and finance throughout the United States, Europe, and Asia. He is the author of Corporate Policy: A Casebook.",0,NULL,Professor,,"Retired, Boston University",Harvard University,,,Prof_Jules_Schwartz.jpg
13,George T.,Geis,"Ph.D., MBA","George T. Geis is Associate Dean of the Executive MBA Program and Adjunct Professor at the University of California at Los Angeles Anderson School of Management, where he teaches in the areas of information technology, accounting, and finance.   Professor Geis received a B.S., summa cum laude, and with honors in mathematics from Purdue University, an M.B.A. from University of California, Los Angeles, and a Ph.D. from University of Southern California. He was a National Science Foundation and Woodrow Wilson Honorary Fellow.  Dr. Geis has been voted Outstanding Teacher of the Year at the Anderson School of Business at UCLA four times. In the field of finance, he has been honored with the Financial Executives Institute Award for outstanding achievement.   Professor Geis has published dozens of professional articles and five books, including Micromanaging (1987) and Desktop Computing and the Essence of Management (1990). His latest book, Digital Deals: Strategies for Selecting and Structuring Partnerships (2001), is co-authored with George S. Geis. He has extensive consulting experience and is a frequent lecturer on emerging trends in the computer, communications, and media markets. ",0,NULL,Professor,,University of California at Los Angeles,"University of Southern California; , University of California at Los Angeles",,,Prof_George_Geis.jpg
14,Willard,Spiegelman,Ph.D.,"Dr. Willard Spiegelman is Duwain E. Hughes Jr. Distinguished Professor of English at Southern Methodist University in Dallas, Texas. He earned his A.B. degree from Williams College magna cum laude and with highest honors in English. He did graduate work at Harvard, where he held Woodrow Wilson and Danforth fellowships and earned an A.M. and a Ph.D.  Professor Spiegelman has won three fellowships from the National Endowment for the Humanities, as well as major grants from the Rockefeller and Guggenheim Foundations.   He has been twice named an ìOutstanding Professorî at SMU, and all of his books have been named ìbest faculty publicationî by the university. He is also the recipient of the Perrine Prize of Phi Beta Kappa for distinguished intellectual achievement.  Professor Spiegelman is the author of two books about the English Romantic poets: Wordsworthís Heroes and Majestic Indolence: English Romantic Poetry and the Work of Art. He has also written The Didactic Muse: Scenes of Instruction in Contemporary American Poetry and dozens of scholarly articles on English and American poetry. He is a regular contributor to the ìLeisure & Artsî page of The Wall Street Journal, and since 1984 he has been the editor-in chief of The Southwest Review, the countryís fourth-oldest, continuously published literary quarterly. ",0,NULL,Professor,,Southern Methodist University,Harvard University,,,Prof_Willard_Spiegelman.jpg
16,Peter,Saccio,Ph.D.,"Dr. Peter Saccio is Leon D. Black Professor of Shakespearean Studies and Professor of English Emeritus at Dartmouth College. He also served as a visiting professor at Wesleyan University and at University College in London. He earned his Ph.D. from Princeton University.  At Dartmouth, Professor Saccio was honored with the J. Kenneth Huntington Memorial Award for Outstanding Teaching.  Professor Saccio is the author of Shakespeareís English Kings, which has become a classic in its field. He is also the editor of Thomas Middletonís comedy A Mad World, My Masters, for the Oxford Complete Works of Thomas Middleton.    Professor Saccio is also an accomplished actor and theatrical director. He directed productions of Twelfth Night, Macbeth, and Cymbeline, and devised and directed several programs of scenes from Shakespeare and from modern British drama. His acting credits include the Shakespearean roles of Casca, Angelo, Bassanio, and Henry IV, as well as various parts in the ancient and modern plays.",0,NULL,Professor,,Dartmouth College,Princeton University,,,Prof_Peter_Saccio.jpg
17,Daniel N.,Robinson,Ph.D.,"Dr. Daniel N. Robinson is a member of the philosophy faculty at Oxford University, where he has lectured annually since 1991. He is also Distinguished Professor, Emeritus, at Georgetown University, on whose faculty he served for 30 years. He was formerly Adjunct Professor of Psychology at Columbia University, and he also held positions at Amherst College and at Princeton University.  Professor Robinson earned his Ph.D. in Neuropsychology from City University of New York.   He is past president of two divisions of the American Psychological Association: the Division of History of Psychology, from which he received the Lifetime Achievement Award, and the Division of Theoretical and Philosophical Psychology, from which he received the Distinguished Contribution Award.   Professor Robinson is author or editor of more than 40 books, including Wild Beasts & Idle Humours: The Insanity Defense from Antiquity to the Present, An Intellectual History of Psychology, The Mind: An Oxford Reader, and Aristotleís Psychology. He is former editor of the Journal of Theoretical and Philosophical Psychology. Dr. Robinson has also published widely on the constitutional history of the U.S. and its philosophical foundations, with original research appearing in the International Journal of Constitutional Law and The American Journal of Jurisprudence. He is coeditor of The American Founding: Its Intellectual and Moral Framework (London: Continuum, 2012). ",0,"Aristotle has the desire to know as a universal human characteristic. Teaching attends to that desire and, when done well, even satisfies it.",Professor,,"Philosophy Faculty, Oxford University; Distinguished Professor, Emeritus, Georgetown University",City University of New York,,,Prof_Daniel_Robinson.jpg
